add,bath,bed,car,desc,features,headline,id,lat,lon,photo,postcode,price,street,suburb,type,url,url2,date,min_price,max_price
"28/5-15 Balmoral Street, Waitara",3.0,3.0,2,"<b></b><br />From the moment you enter this 2 level penthouse apartment with soaring 2 storey ceilings creating an abundance of natural light you know you have found the best on show.

The ground floor offers 2 bedrooms with 2 bathrooms and built-in ...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'SecureParking', 'GroundFloor', 'AlarmSystem', 'Intercom', 'BalconyDeck']","3 bed, 3 bath, 2 car Penthouse Living. Walk to Rail.",2016953453.0,-33.7111244,151.108139,https://bucket-api.domain.com.au/v1/bucket/image/2016953453_1_1_210421_115115-w3600-h2398,2077,"For Sale $980,000-$1,050,000",Balmoral Street,WAITARA,ApartmentUnitFlat,https://www.domain.com.au/28-5-15-balmoral-street--waitara-2077-2016953453,https://www.domain.com.au/28-5-15-balmoral-street-waitara-nsw-2077-2016953453,2021-07-10,,
"2/475-477 Pacific Highway, Asquith",2.0,3.0,2,"<b></b><br />Wake up in the leafy Suburb of Asquith, to the most beautiful park views and enjoy amazing sunsets. Direct access  from townhouse site to Mills Park to walk your dog or for your children to have a haven of a garden to play in. Just open th...","['Dishwasher', 'Study']",Townhouses On Park,2016945539.0,-33.6818123,151.110489,https://bucket-api.domain.com.au/v1/bucket/image/2016945539_1_1_210419_073324-w1600-h1067,2077,UNDER CONTRACT/OFFER,Pacific Highway,ASQUITH,Townhouse,https://www.domain.com.au/2-475-477-pacific-highway--asquith-2077-2016945539,https://www.domain.com.au/2-475-477-pacific-highway-asquith-nsw-2077-2016945539,2021-07-10,,
"21 Eurong Street, Wahroonga",2.0,5.0,2,"<b></b><br />UNDER CONTRACT 
We have quite a few buyers that missed out on this property and are still looking to purchase in Wahroonga. 
Call Carla Stergiotis on 0401 928 407 for a complimentary property appraisal.

Located on a corner block, this nor...","['AirConditioning', 'Ensuite', 'SecureParking', 'SwimmingPool', 'NorthFacing', 'Dishwasher']","Beautiful Views, Sunny and Spacious",2016919238.0,-33.7403221,151.101868,https://bucket-api.domain.com.au/v1/bucket/image/2016919238_1_1_210407_092205-w1600-h1067,2076,UNDER CONTRACT/OFFER,Eurong Street,WAHROONGA,House,https://www.domain.com.au/21-eurong-street--wahroonga-2076-2016919238,https://www.domain.com.au/21-eurong-street-wahroonga-nsw-2076-2016919238,2021-07-10,,
"29 Pennant Hills Road, Normanhurst",3.0,5.0,4,"<b></b><br />Best parking on Hinemoa Avenue or Hewitt Avenue.

Potential rental return - 850pw (combined house and studio)

Offering a central location and a complete internal renovation, this character home offers convenient and comfortable living. Wi...","['Bath', 'DoubleGlazedWindows']",Sun-filled family home,2016918932.0,-33.7209358,151.105438,https://bucket-api.domain.com.au/v1/bucket/image/2016918932_1_1_210407_073034-w1500-h998,2076,Contact Agent,Pennant Hills Road,NORMANHURST,House,https://www.domain.com.au/29-pennant-hills-road--normanhurst-2076-2016918932,https://www.domain.com.au/29-pennant-hills-road-normanhurst-nsw-2076-2016918932,2021-07-10,,
"510 Pacific Highway, Mount Colah",2.0,3.0,2,"<b></b><br />Red Gum Mt Colah                   Off the plan- expected completion end 2022. Price sown for #br+study TH.

Choice of 2 and 3 bedroom plus study Townhouses and Apartments.

 

Bespoke-  With all the floor-plans and Gardens one off designs...","['BuiltInWardrobes', 'SecureParking', 'Study']","1, 2 & 3 Bedroom Townhouses & Apartments",2016901629.0,-33.6785965,151.111847,https://bucket-api.domain.com.au/v1/bucket/image/2016901629_1_1_210330_031838-w2362-h2362,2079,"$1,045,000",Pacific Highway,MOUNT COLAH,NewHouseLand,https://www.domain.com.au/510-pacific-highway--mount-colah-2079-2016901629,https://www.domain.com.au/510-pacific-highway-mount-colah-nsw-2079-2016901629,2021-07-10,1045000.0,1045000.0
"4, 8 & 10/503-505 Pacific Highway, Mount Colah",2.0,3.0,2,"<b></b><br />Introducing SOLIS, a boutique offering of architecturally designed luxury townhouses that bring a distinctive new standard in designer living to the family-friendly community of Mount Colah on Sydney's coveted Upper North Shore.

Delivered...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'GroundFloor', 'Study']",Premium Townhouses | Unrivalled For Size,2016895079.0,-33.664753,151.12262,https://bucket-api.domain.com.au/v1/bucket/image/2016591562_1_1_201031_060512-w2000-h1333,2079,For Sale | Contact Agent,Pacific Highway,MOUNT COLAH,Townhouse,https://www.domain.com.au/4--8-&-10-503-505-pacific-highway--mount-colah-2079-2016895079,https://www.domain.com.au/4-8-10-503-505-pacific-highway-mount-colah-nsw-2079-2016895079,2021-07-10,,
"20/3-5 Winston Street, Asquith",4.0,4.0,2,"<b></b><br />Modern and stylish, this 4 bedroom, 4 bathroom plus study townhouse in Elizabeth Garden shows a keen appreciation for space and texture, attention to detail and high-quality finishing.
The neutral colour scheme is the perfect canvas ready ...","['AirConditioning', 'BuiltInWardrobes', 'Floorboards', 'Gas', 'NorthFacing', 'Study']",BRAND NEW BEAUTIFUL TOWNHOUSES,2016349880.0,-33.6897354,151.108765,https://bucket-api.domain.com.au/v1/bucket/image/2016349880_1_1_200702_020456-w2346-h1440,2077,Contact Agent,Winston Street,ASQUITH,Townhouse,https://www.domain.com.au/20-3-5-winston-street--asquith-2077-2016349880,https://www.domain.com.au/20-3-5-winston-street-asquith-nsw-2077-2016349880,2021-07-10,,
"6/3-5 Winston Street, Asquith",3.0,4.0,2,"<b></b><br />Premium Location. Premium Quality. Modern and stylish, this 4 bedroom, 4 bathroom plus study townhouse in Elizabeth Garden shows a keen appreciation for space and texture, attention to detail and high-quality finishing.
The neutral colour ...","['AirConditioning', 'BuiltInWardrobes', 'Floorboards', 'Gas', 'Study']",LUXURY TOWNHOUSES PREMIUM LOCATION,2016553190.0,-33.6897354,151.108765,https://bucket-api.domain.com.au/v1/bucket/image/2016553190_1_1_201014_031952-w5000-h2898,2077,CONTACT AGENT,Winston Street,ASQUITH,Townhouse,https://www.domain.com.au/6-3-5-winston-street--asquith-2077-2016553190,https://www.domain.com.au/6-3-5-winston-street-asquith-nsw-2077-2016553190,2021-07-10,,
"5/3-5 Winston Street, Asquith",2.0,3.0,2,"<b></b><br />Premium Location. Premium Quality. Modern and stylish, this 3 bedroom, 2.5 bathroom plus study townhouse in Elizabeth Garden shows a keen appreciation for space and texture, attention to detail and high-quality finishing.
The neutral colou...","['AirConditioning', 'BuiltInWardrobes', 'Floorboards', 'Gas', 'Study']",Premium Location,2016782491.0,-33.6897354,151.108765,https://bucket-api.domain.com.au/v1/bucket/image/2016349880_2_1_200702_020456-w2560-h1524,2077,Townhouses Selling Fast,Winston Street,ASQUITH,Townhouse,https://www.domain.com.au/5-3-5-winston-street--asquith-2077-2016782491,https://www.domain.com.au/5-3-5-winston-street-asquith-nsw-2077-2016782491,2021-07-10,,
"4/2 Rupert Street, Mount Colah",2.0,3.0,2,"<b></b><br />Contact Adam for either an in office or on site appointment 0450 753 268

Completion in September 2021

Stone Gardens - Only 1 left

These luxury townhouses are designed to deliver style, space and comfort in a convenient and popular...","['AirConditioning', 'Floorboards', 'Gas']",LAST ONE LEFT FOR SALE,2016472241.0,-33.6799431,151.110153,https://bucket-api.domain.com.au/v1/bucket/image/2016472241_1_1_210305_092235-w4000-h2250,2079,Contact Agent,Rupert Street,MOUNT COLAH,Townhouse,https://www.domain.com.au/4-2-rupert-street--mount-colah-2079-2016472241,https://www.domain.com.au/4-2-rupert-street-mount-colah-nsw-2079-2016472241,2021-07-10,,
