add,bath,bed,car,desc,features,headline,id,lat,lon,photo,postcode,price,street,suburb,type,url,url2,date,min_price,max_price
"54 The Esplanade, Thornleigh",2.0,3.0,2.0,"<b></b><br />Impeccably renovated throughout, this gorgeous character filled home displays all the hallmarks of its original pedigree, with a wraparound verandah framing the charming façade. Step inside to stunning interiors that are finished to the hi...",['AirConditioning'],Stunning renovated character home set in a premium Thornleigh address,2017122088.0,-33.7292366,151.0795,https://bucket-api.domain.com.au/v1/bucket/image/2017122088_1_1_210708_042350-w1600-h1067,2120,Contact Agent,The Esplanade,THORNLEIGH,House,https://www.domain.com.au/54-the-esplanade--thornleigh-2120-2017122088,https://www.domain.com.au/54-the-esplanade-thornleigh-nsw-2120-2017122088,2021-07-10,,
"10 Joycelyn Close, Hornsby Heights",3.0,5.0,2.0,"<b></b><br />Exuding a tranquil resort like feel, this much loved home enjoys spectacular bushland views and expansive interiors offering a versatile floor plan with multiple indoor and outdoor living areas. Perfect for multigenerational or growing fam...","['Ensuite', 'SecureParking', 'SwimmingPool', 'Bath']",Family sanctuary enjoys stunning bush views,2017120949.0,-33.65511,151.1048,https://bucket-api.domain.com.au/v1/bucket/image/2017120949_1_1_210707_115957-w1600-h1200,2077,Please contact for private appointment,Joycelyn Close,HORNSBY HEIGHTS,House,https://www.domain.com.au/10-joycelyn-close--hornsby-heights-2077-2017120949,https://www.domain.com.au/10-joycelyn-close-hornsby-heights-nsw-2077-2017120949,2021-07-10,,
"5/542 Old Northern Road, Dural",2.0,3.0,2.0,"<b></b><br />Set within an exclusive gated complex, this unique three bedroom two-storey townhouse embraces a relaxed effortless lifestyle and an exceptional location, only a minute's walk to Round Corner Village shops.
 
Step into this spacious light-...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'GroundFloor', 'Bath', 'Dishwasher', 'FullyFenced', 'GardenCourtyard', 'BalconyDeck']",Exquisite three bedroom two-storey townhouse,2017119076.0,-33.6941032,151.021164,https://bucket-api.domain.com.au/v1/bucket/image/2017119076_1_1_210707_042058-w1200-h800,2158,Just Listed,Old Northern Road,DURAL,Townhouse,https://www.domain.com.au/5-542-old-northern-road--dural-2158-2017119076,https://www.domain.com.au/5-542-old-northern-road-dural-nsw-2158-2017119076,2021-07-10,,
"34B Hampden Road, Pennant Hills",3.0,4.0,2.0,"<b></b><br />CALL TO ARRANGE A PRIVATE INSPECTION

From the front covered alfresco terrace complete with ceiling fan and woodfired pizza oven to the versatile downstairs rumpus room/teen retreat, you'll enjoy the options presented in this family-frie...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'InternalLaundry', 'Bath', 'SeparateDiningRoom', 'Heating', 'Dishwasher', 'GardenCourtyard', 'BalconyDeck']",Well-Located Lifestyle Home with Leafy Vista.,2017118421.0,-33.74368,151.074417,https://bucket-api.domain.com.au/v1/bucket/image/2017118421_1_1_210707_015447-w3600-h2400,2120,Auction,Hampden Road,PENNANT HILLS,House,https://www.domain.com.au/34b-hampden-road--pennant-hills-2120-2017118421,https://www.domain.com.au/34b-hampden-road-pennant-hills-nsw-2120-2017118421,2021-07-10,,
"41 Eucalyptus Drive, Westleigh",2.0,4.0,2.0,"<b></b><br />CALL TO ARRANGE A PRIVATE INSPECTION

You will be impressed and enchanted by this striking classically-styled Spanish family home. 

Set on a large block and offering a private front courtyard, the layout flows from the dining room and...","['BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'SwimmingPool', 'Heating']",Striking Spanish Oasis in Sought-after Location.,2017118379.0,-33.71652,151.06868,https://bucket-api.domain.com.au/v1/bucket/image/2017118379_1_1_210707_014944-w2400-h2400,2120,Auction,Eucalyptus Drive,WESTLEIGH,House,https://www.domain.com.au/41-eucalyptus-drive--westleigh-2120-2017118379,https://www.domain.com.au/41-eucalyptus-drive-westleigh-nsw-2120-2017118379,2021-07-10,,
"2C Hall Avenue, Thornleigh",2.0,4.0,2.0,"<b></b><br />Contemporary in its design, this pristine dual level residence abounds with space and convenience. Step inside to a light and inviting interior, with the perfect mix of formal and casual living. Showcasing a seamless connection to the outd...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'SecureParking', 'GroundFloor', 'Dishwasher']",Idyllic family living  stroll to station,2017114640.0,-33.72706,151.081,https://bucket-api.domain.com.au/v1/bucket/image/2017114640_1_1_210705_100403-w3000-h2000,2120,Inspections by appointment - Contact Agent to book,Hall Avenue,THORNLEIGH,House,https://www.domain.com.au/2c-hall-avenue--thornleigh-2120-2017114640,https://www.domain.com.au/2c-hall-avenue-thornleigh-nsw-2120-2017114640,2021-07-10,,
"18A Sefton Road, Thornleigh",2.0,3.0,2.0,"<b></b><br />CALL HEATH DOCKARY ON 0411 798 479 TO ARRANGE A PRIVATE INSPECTION

With leafy creek views, this new 3 bedroom brick family home features many added extras. The practical layout offers multiple living zones, allowing everyone to relax and ...","['AirConditioning', 'Ensuite', 'SecureParking', 'Bath']",Immaculate new private rear block home,2017113969.0,-33.72116,151.08342,https://bucket-api.domain.com.au/v1/bucket/image/2017113969_1_1_210705_064626-w2000-h1333,2120,Price on Request,Sefton Road,THORNLEIGH,House,https://www.domain.com.au/18a-sefton-road--thornleigh-2120-2017113969,https://www.domain.com.au/18a-sefton-road-thornleigh-nsw-2120-2017113969,2021-07-10,,
"20 Barkala Place, Westleigh",2.0,4.0,1.0,"<b></b><br />Elevated in a quiet cul-de-sac, this spacious family home consists of four bedrooms, two bathrooms and an open-plan living area which extends to a generous wrap-around deck, spanning the length of the home.  The large windows let in abunda...","['BuiltInWardrobes', 'Ensuite', 'InternalLaundry', 'Dishwasher']",Soak-up the Sweeping Views in a Serene Location,2017107570.0,-33.70942,151.070313,https://bucket-api.domain.com.au/v1/bucket/image/2017107570_1_1_210708_071335-w3244-h2124,2120,Auction,Barkala Place,WESTLEIGH,House,https://www.domain.com.au/20-barkala-place--westleigh-2120-2017107570,https://www.domain.com.au/20-barkala-place-westleigh-nsw-2120-2017107570,2021-07-10,,
"3 Duneba Drive, Westleigh",2.0,4.0,2.0,"<b></b><br />Offering a wonderful opportunity in a leafy, peaceful position in Westleigh, this low-maintenance brick residence presents the ideal scope for you to renovate and create your own. Boasting a family friendly layout that offers plenty of roo...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'SecureParking', 'Gym', 'Bath']",Charming home presents wonderful opportunity,2017105142.0,-33.72301,151.07077,https://bucket-api.domain.com.au/v1/bucket/image/2017105142_1_1_210630_062003-w1500-h998,2120,"Auction, Contact Agent",Duneba Drive,WESTLEIGH,House,https://www.domain.com.au/3-duneba-drive--westleigh-2120-2017105142,https://www.domain.com.au/3-duneba-drive-westleigh-nsw-2120-2017105142,2021-07-10,,
"7/475-477 Pacific Highway, Asquith",2.0,3.0,2.0,"<b></b><br />This property is available for viewing by appointment on 17th July between 12 pm to 2 pm.


Wake up in the leafy Suburb of Asquith, to the most beautiful park views and enjoy amazing sunsets. Direct access from townhouse site to Mills Park...","['Dishwasher', 'Study']",Inspection available by appointment call 0401 928 407,2017096806.0,-33.6819534,151.11058,https://bucket-api.domain.com.au/v1/bucket/image/2017096540_1_1_210625_055515-w5804-h3869,2077,Just Listed!,Pacific Highway,ASQUITH,Townhouse,https://www.domain.com.au/7-475-477-pacific-highway--asquith-2077-2017096806,https://www.domain.com.au/7-475-477-pacific-highway-asquith-nsw-2077-2017096806,2021-07-10,,
"3 Hillcrest  Street, Wahroonga",4.0,5.0,2.0,"<b></b><br />Our homes are still open, but by private appointment only. Please contact David Walker 0414 184 911 or Belinda Edwards	  0451 672 977 to arrange your private time slot within the advertised open home time. 

This prime, 1114sqm block, ne...","['SwimmingPool', 'Bath']",Rare land opportunity in blue-chip Wahroonga,2017096633.0,-33.7160454,151.12999,https://bucket-api.domain.com.au/v1/bucket/image/2017096633_1_1_210625_061803-w3000-h2250,2076,Auction Saturday 17 July 4pm,Hillcrest  Street,WAHROONGA,House,https://www.domain.com.au/3-hillcrest--street--wahroonga-2076-2017096633,https://www.domain.com.au/3-hillcrest-street-wahroonga-nsw-2076-2017096633,2021-07-10,,
"6/475-477 Pacific Highway, Asquith",2.0,3.0,2.0,"<b></b><br />Wake up in the leafy Suburb of Asquith, to the most beautiful park views and enjoy amazing sunsets. Direct access from townhouse site to Mills Park to walk your dog or for your children to have a haven of a garden to play in. Just open the...","['Dishwasher', 'Study']",Townhouse On Park,2017096540.0,-33.6818123,151.110489,https://bucket-api.domain.com.au/v1/bucket/image/2017096540_1_1_210625_055515-w5804-h3869,2077,Under Contract,Pacific Highway,ASQUITH,Townhouse,https://www.domain.com.au/6-475-477-pacific-highway--asquith-2077-2017096540,https://www.domain.com.au/6-475-477-pacific-highway-asquith-nsw-2077-2017096540,2021-07-10,,
"40a Beresford Road, Thornleigh",2.0,3.0,2.0,"<b></b><br />If you are downsizing from the family home, upsizing from a unit or townhouse or looking for that first home then don't miss this perfect opportunity to inspect a well-loved and renovated 3 bedroom home.

With a new kitchen, new flooring, ...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'SecureParking', 'AlarmSystem', 'BalconyDeck']","Single Level, Renovated & Ready For You",2017094499.0,-33.7138443,151.086014,https://bucket-api.domain.com.au/v1/bucket/image/2017094499_1_1_210624_080517-w3000-h1999,2120,Auction 17th July 3:30pm,Beresford Road,THORNLEIGH,House,https://www.domain.com.au/40a-beresford-road--thornleigh-2120-2017094499,https://www.domain.com.au/40a-beresford-road-thornleigh-nsw-2120-2017094499,2021-07-10,,
"143B Galston Road, Hornsby Heights",3.0,5.0,2.0,"<b></b><br />Beautifully presented both inside and out, this expansive five-bedroom home is perfectly tailored for growing and multi-generational households.  Embracing a flawless dual level floor plan bordered by a stunning all-weather entertaining de...","['AirConditioning', 'BuiltInWardrobes', 'Floorboards', 'AlarmSystem']",Immaculate family entertainer of generous proportions,2017094062.0,-33.67558,151.09668,https://bucket-api.domain.com.au/v1/bucket/image/2017094062_1_1_210624_062936-w2000-h1500,2077,Contact for private appointment,Galston Road,HORNSBY HEIGHTS,House,https://www.domain.com.au/143b-galston-road--hornsby-heights-2077-2017094062,https://www.domain.com.au/143b-galston-road-hornsby-heights-nsw-2077-2017094062,2021-07-10,,
"2 Tracey Close, Normanhurst",2.0,5.0,1.0,"<b></b><br />Expressions of Interest closing 9am on Monday, July 19.

Cass Property is pleased to present this expansive residence in a premier Normanhurst cul-de-sac. 

A large family retreat, this home has a warm ambience and a layout designed to mov...","['AirConditioning', 'Ensuite', 'Gas', 'GroundFloor', 'Study']",Large family haven,2017093711.0,-33.7179756,151.100891,https://bucket-api.domain.com.au/v1/bucket/image/2017093711_1_1_210624_052036-w2048-h1365,2076,Expressions of Interest,Tracey Close,NORMANHURST,House,https://www.domain.com.au/2-tracey-close--normanhurst-2076-2017093711,https://www.domain.com.au/2-tracey-close-normanhurst-nsw-2076-2017093711,2021-07-10,,
"2 Lennox Street, Normanhurst",2.0,4.0,2.0,"<b></b><br />Our homes are still open, but strictly by private inspection only. Please contact Anna Cavill 0401 333 981 or Jo Persechino 0481 467 179 to arrange your private time slot within the advertised open home time. 

This vintage mid-century h...","['Floorboards', 'Gas', 'SecureParking']","Deceased Estate, vintage gem holding unharnessed potential",2017093459.0,-33.71964,151.090469,https://bucket-api.domain.com.au/v1/bucket/image/2017093459_1_1_210624_043704-w4134-h2756,2076,"Auction Saturday 31 July, 4pm",Lennox Street,NORMANHURST,House,https://www.domain.com.au/2-lennox-street--normanhurst-2076-2017093459,https://www.domain.com.au/2-lennox-street-normanhurst-nsw-2076-2017093459,2021-07-10,,
"10 Ridgewood Place, Dural",3.0,5.0,2.0,<b></b><br />Spacious design and great functionality combine in this tastefully updated residence to deliver the perfect environment for family living and entertaining. It offers a light filled haven with a fresh feel and a large two-level layout that ...,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'SecureParking', 'Study']",A delightful family haven to relax and enjoy,2017088393.0,-33.71356,151.032654,https://bucket-api.domain.com.au/v1/bucket/image/2017088393_1_1_210622_080918-w1946-h1300,2158,Cherrybrook Tech High Catchment,Ridgewood Place,DURAL,House,https://www.domain.com.au/10-ridgewood-place--dural-2158-2017088393,https://www.domain.com.au/10-ridgewood-place-dural-nsw-2158-2017088393,2021-07-10,,
"11 Murrell Place, Dural",2.0,5.0,2.0,"<b></b><br />Offered for the first time following a quality renovation, this master-built family home is superbly presented for stylish contemporary living and occupies a premium level parcel of land in Dural's sought-after south. The property is impre...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'SecureParking', 'GroundFloor', 'AlarmSystem', 'Study']",Luxuriously enhanced entertainer in desirable setting,2017087161.0,-33.71144,151.027969,https://bucket-api.domain.com.au/v1/bucket/image/2017087161_1_1_210622_043850-w1950-h1300,2158,Cherrybrook Tech High Catchment,Murrell Place,DURAL,House,https://www.domain.com.au/11-murrell-place--dural-2158-2017087161,https://www.domain.com.au/11-murrell-place-dural-nsw-2158-2017087161,2021-07-10,,
"4/32 Clissold Road, Wahroonga",2.0,3.0,2.0,"<b></b><br />DUE TO COVID-19 RESTRICTIONS, PLEASE CALL AGENT 0414732826 TO ARRANGE A PRIVATE VIEWING 

If you have been thinking about downsizing, this really is a must see! Showcasing a feeling of openness, space and light this exquisite single leve...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'InternalLaundry', 'SecureParking', 'NorthFacing', 'Intercom', 'BroadbandInternetAccess', 'Bath', 'Heating', 'Dishwasher', 'FullyFenced', 'WallCeilingInsulation', 'GardenCourtyard']",SPACIOUS SINGLE LEVEL LIVING FOR OVER 55'S,2017085539.0,-33.71338,151.139679,https://bucket-api.domain.com.au/v1/bucket/image/2017085539_1_1_210621_080825-w1600-h1067,2076,AUCTION,Clissold Road,WAHROONGA,Townhouse,https://www.domain.com.au/4-32-clissold-road--wahroonga-2076-2017085539,https://www.domain.com.au/4-32-clissold-road-wahroonga-nsw-2076-2017085539,2021-07-10,,
"26 Dunbar Close, Normanhurst",2.0,3.0,2.0,"<b></b><br />Prime level block in a whisper quiet yet convenient leafy pocket. Nestled on a prized 784sqm north-to-rear level block, this cherished home occupies a premier position in a peaceful, yet wonderfully convenient family orientated cul de sac....","['Gas', 'Study']","Inspections by Appointment, contact me to arrange a viewing.",2017077898.0,-33.7248077,151.0941,https://bucket-api.domain.com.au/v1/bucket/image/2017077898_1_1_210617_050723-w2000-h1500,2076,Sold at Auction by Andrew Searle 0414 955 982,Dunbar Close,NORMANHURST,House,https://www.domain.com.au/26-dunbar-close--normanhurst-2076-2017077898,https://www.domain.com.au/26-dunbar-close-normanhurst-nsw-2076-2017077898,2021-07-10,955000.0,982000.0
"21A Bouvardia Street, Asquith",4.0,5.0,2.0,"<b></b><br />Why you'll love it:
Brand new and beautiful, this magnificent family homeâs extravagantly-appointed spacious interiors and alfresco entertaining with sunny north aspect are tailormade for a lifestyle of contemporary luxury, tucked away in ...","['AirConditioning', 'Ensuite', 'SecureParking']",Brand new luxury residence designed for modern living,2017077870.0,-33.68805,151.105438,https://bucket-api.domain.com.au/v1/bucket/image/2017077870_1_1_210617_050114-w1920-h1440,2077,Auction,Bouvardia Street,ASQUITH,House,https://www.domain.com.au/21a-bouvardia-street--asquith-2077-2017077870,https://www.domain.com.au/21a-bouvardia-street-asquith-nsw-2077-2017077870,2021-07-10,,
"35 Bouvardia Street, Asquith",3.0,5.0,3.0,"<b></b><br />Open homes- by private appointment only. Please contact Steve to arrange your private time slot in the advertise time

Hidden between palm trees that greet your entrance, this beautiful home awaits the growing family. Boasting multiple liv...","['AirConditioning', 'Floorboards', 'Gas', 'Heating']",Please make your appointment through advertised open home time,2017076620.0,-33.6856,151.106979,https://bucket-api.domain.com.au/v1/bucket/image/2017076620_1_1_210617_010454-w4500-h3000,2077,Auction 17th July @ 10.30am,Bouvardia Street,ASQUITH,House,https://www.domain.com.au/35-bouvardia-street--asquith-2077-2017076620,https://www.domain.com.au/35-bouvardia-street-asquith-nsw-2077-2017076620,2021-07-10,,
"50 Greenhaven Drive, Pennant Hills",3.0,5.0,3.0,"<b></b><br />Perfectly positioned with a bush backdrop and located in a peaceful pocket of Pennant Hills, this immaculately maintained family home has been lovingly cared for by the same family since new. Offering generously proportioned rooms, a flexi...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'SecureParking', 'NorthFacing', 'SeparateDiningRoom', 'Dishwasher', 'Study', 'BalconyDeck']",Expansive Family Home In A Sought-After Location,2017076582.0,-33.745575,151.072678,https://bucket-api.domain.com.au/v1/bucket/image/2017076582_1_1_210617_125529-w4500-h2994,2120,Auction (if not sold prior),Greenhaven Drive,PENNANT HILLS,House,https://www.domain.com.au/50-greenhaven-drive--pennant-hills-2120-2017076582,https://www.domain.com.au/50-greenhaven-drive-pennant-hills-nsw-2120-2017076582,2021-07-10,,
"76 Duffy Avenue, Westleigh",2.0,5.0,3.0,"<b></b><br />Situated on over 600sqm & prominently perched on the high side of Duffy Avenue, this 5 bedroom spacious home has the advantage of rear & gated car access whilst being part of the coveted Sanctuary Gardens Estate with resort-style living.
...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'SecureParking', 'SwimmingPool', 'Bath', 'SeparateDiningRoom', 'Dishwasher', 'TennisCourt', 'Shed', 'RainwaterStorageTank', 'BalconyDeck']",Luxury Family Resort-Style Living At Its Best.,2017074901.0,-33.72213,151.074036,https://bucket-api.domain.com.au/v1/bucket/image/2017074901_1_1_210616_060441-w3600-h2400,2120,SOLD by Dion,Duffy Avenue,WESTLEIGH,House,https://www.domain.com.au/76-duffy-avenue--westleigh-2120-2017074901,https://www.domain.com.au/76-duffy-avenue-westleigh-nsw-2120-2017074901,2021-07-10,,
"3 Adamson Avenue, Thornleigh",2.0,3.0,3.0,"<b></b><br />Positioned only moments to Normanhurst West Public School and a short stroll to Normanhurst Train Station this near level parcel of land with a charming three bedroom cottage will suit downsizers, first home buyers or investors. Offering t...","['AirConditioning', 'BuiltInWardrobes', 'SecureParking', 'Dishwasher', 'FullyFenced']",Neat as a Pin! Charming Central Cottage.,2017074540.0,-33.72131,151.084778,https://bucket-api.domain.com.au/v1/bucket/image/2017074540_1_1_210616_052114-w3600-h2400,2120,For Sale,Adamson Avenue,THORNLEIGH,House,https://www.domain.com.au/3-adamson-avenue--thornleigh-2120-2017074540,https://www.domain.com.au/3-adamson-avenue-thornleigh-nsw-2120-2017074540,2021-07-10,,
"12c Britannia Street, Pennant Hills",2.0,3.0,2.0,"<b></b><br />Designed with a focus on effortless indoor/outdoor living, this family-sized townhome delivers a stylish environment and a spacious dual level layout, within a boutique collection of only six. Welcoming interiors deliver a superb layout wi...","['BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'Bath']",Boutique Townhome with A Family Friendly Layout and North Facing Garden,2017073813.0,-33.7413,151.075089,https://bucket-api.domain.com.au/v1/bucket/image/2017073813_1_1_210616_025703-w2100-h1400,2120,Sold at auction,Britannia Street,PENNANT HILLS,Townhouse,https://www.domain.com.au/12c-britannia-street--pennant-hills-2120-2017073813,https://www.domain.com.au/12c-britannia-street-pennant-hills-nsw-2120-2017073813,2021-07-10,,
"5 Chakola Avenue, Hornsby Heights",2.0,4.0,2.0,<b></b><br />Nestled on the high side of a cul-de-sac with a leafy backdrop this quaint brick veneer home offers a wonderful opportunity for relaxed family living in a thriving yet affordable area. The backyard boasts shaded lawn areas for children to ...,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Dishwasher', 'Study']",COMFORTABLE FAMILY LIVING HOUSE,2017064958.0,-33.674118,151.0982,https://bucket-api.domain.com.au/v1/bucket/image/2017064958_1_1_210610_065452-w1920-h1280,2077,AUCTION,Chakola Avenue,HORNSBY HEIGHTS,House,https://www.domain.com.au/5-chakola-avenue--hornsby-heights-2077-2017064958,https://www.domain.com.au/5-chakola-avenue-hornsby-heights-nsw-2077-2017064958,2021-07-10,,
"5/18-20 Binomea Place, Pennant Hills",2.0,3.0,2.0,"<b></b><br />Perfect for family living with plentiful living space and a generous dual level layout, the oversized three-bedroom home has been updated to provide comfort, style and a low up-keep lifestyle. With three distinct living areas, modern appoi...","['AirConditioning', 'Ensuite', 'SecureParking']",Family Sized Townhome In A Boutique Collection of Five,2017061402.0,-33.7402534,151.070953,https://bucket-api.domain.com.au/v1/bucket/image/2017061402_1_1_210609_055027-w2100-h1400,2120,Sold,Binomea Place,PENNANT HILLS,Townhouse,https://www.domain.com.au/5-18-20-binomea-place--pennant-hills-2120-2017061402,https://www.domain.com.au/5-18-20-binomea-place-pennant-hills-nsw-2120-2017061402,2021-07-10,,
"2/122 Junction Road, Wahroonga",2.0,3.0,2.0,"<b></b><br />*At Ray White Kellyville, we know that your home is where you feel safe and we are committed to keep it that way for all our clients. As per the new Covid Restrictions we will be showing properties By Appointment Only - Please call to book...","['BuiltInWardrobes', 'Ensuite', 'Floorboards']","Brand New, Full Brick & Ready to Occupy",2017060938.0,-33.7098122,151.1319,https://bucket-api.domain.com.au/v1/bucket/image/2017060938_1_1_210609_043919-w6726-h4485,2076,Contact Agent,Junction Road,WAHROONGA,House,https://www.domain.com.au/2-122-junction-road--wahroonga-2076-2017060938,https://www.domain.com.au/2-122-junction-road-wahroonga-nsw-2076-2017060938,2021-07-10,,
"83 Wareemba Avenue, Thornleigh",3.0,4.0,2.0,<b></b><br />This architecturally designed three bedroom home offering raked ceilings and exposed beams is in a tranquil bush setting and includes a separate self-contained home office or teenage retreat on the lower level. Recently painted and well ma...,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'SecureParking', 'Bath', 'SeparateDiningRoom', 'Heating', 'Study', 'BalconyDeck']",Architecturally Designed with Beautiful Bush Views,2017059259.0,-33.7117462,151.081009,https://bucket-api.domain.com.au/v1/bucket/image/2017059259_2_1_210609_015150-w3600-h2400,2120,Auction 22nd July 2021 at 6.30pm,Wareemba Avenue,THORNLEIGH,House,https://www.domain.com.au/83-wareemba-avenue--thornleigh-2120-2017059259,https://www.domain.com.au/83-wareemba-avenue-thornleigh-nsw-2120-2017059259,2021-07-10,2021.0,2021.0
"38C Queens Road, Asquith",4.0,5.0,2.0,"<b></b><br />Privately tucked away in one of Asquith's most desirable enclaves, this immense family residence offers a peaceful lifestyle. Perfectly positioned, it's a short walk to Asquith Public School and St Patrick's, and an easy stroll from Asquit...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'Study']",Grand scale sanctuary in a sought-after cul-de-sac,2017055307.0,-33.68514,151.1153,https://bucket-api.domain.com.au/v1/bucket/image/2017055307_1_1_210607_064848-w1600-h1200,2077,Contact Agent for inspection,Queens Road,ASQUITH,House,https://www.domain.com.au/38c-queens-road--asquith-2077-2017055307,https://www.domain.com.au/38c-queens-road-asquith-nsw-2077-2017055307,2021-07-10,,
